City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,24.75,94,55,4.02,EC,1690257985
1,selkirk,50.1436,-96.8845,22.26,85,79,3.52,CA,1690258577
2,sisimiut,66.9395,-53.6735,5.03,90,56,6.24,GL,1690258577
3,yellowknife,62.456,-114.3525,23.29,43,75,5.14,CA,1690258481
4,kidal,18.4411,1.4078,32.83,43,100,3.68,ML,1690258578
5,bengkulu,-3.8004,102.2655,28.2,65,13,1.68,ID,1690258000
6,vorgashor,67.5833,63.95,19.87,65,83,2.96,RU,1690257986
7,port-aux-francais,-49.35,70.2167,3.32,65,100,8.69,TF,1690258579
8,warman,52.3168,-106.5679,23.95,73,20,5.14,CA,1690258580
9,grytviken,-54.2811,-36.5092,-5.57,78,20,5.21,GS,1690258580
10,timimoun,29.2639,0.231,31.21,8,21,4.12,DZ,1690258581
11,shahrak,34.1074,64.3052,22.77,24,47,1.15,AF,1690258581
12,santana,-0.0583,-51.1817,26.1,94,0,1.54,BR,1690258582
13,margaret river,-33.95,115.0667,14.98,90,100,7.23,AU,1690258583
14,utrik,11.2278,169.8474,28.73,74,100,7.36,MH,1690258583
15,reyes,-14.3167,-67.3833,21.7,71,0,0.97,BO,1690258584
16,blackmans bay,-43.0167,147.3167,13.74,62,100,1.13,AU,1690258585
17,vila franca do campo,37.7167,-25.4333,21.23,88,36,1.95,PT,1690258218
18,joshimath,30.5667,79.5667,24.41,83,94,1.88,IN,1690258586
19,bobo-dioulasso,11.1771,-4.2979,24.25,100,20,1.54,BF,1690258587
20,yuzhno-kurilsk,44.0306,145.8556,23.07,81,54,0.33,RU,1690258043
21,isafjordur,66.0755,-23.124,8.7,95,100,3.15,IS,1690258021
22,constantia,44.1833,28.65,22.61,74,10,5.92,RO,1690258588
23,thompson,55.7435,-97.8558,18.09,77,100,6.69,CA,1690258080
24,mazagao,-0.115,-51.2894,26.03,84,69,1.66,BR,1690258589
25,kirishi,59.4471,32.0205,13.65,73,79,2.65,RU,1690258590
26,olonkinbyen,70.9221,-8.7187,5.16,90,100,4.84,SJ,1690258590
27,bethel,41.3712,-73.414,23.75,82,20,1.54,US,1690258591
28,puerto natales,-51.7236,-72.4875,-4.59,91,100,0.54,CL,1690258592
29,albany,42.6001,-73.9662,20.17,89,19,1.2,US,1690258461
30,lebu,-37.6167,-73.65,12.34,90,100,6.12,CL,1690258036
31,edinburgh of the seven seas,-37.0676,-12.3116,14.88,81,77,17.02,SH,1690258593
32,lichtenburg,-26.152,26.1597,7.5,24,34,3.38,ZA,1690258594
33,monroeville,40.4212,-79.7881,21.94,86,64,1.41,US,1690258594
34,punta arenas,-53.15,-70.9167,-1.65,87,100,1.5,CL,1690258411
35,port mathurin,-19.6833,63.4167,23.65,75,83,9.4,MU,1690258595
36,adamstown,-25.066,-130.1015,20.51,72,15,3.92,PN,1690258596
37,falenki,58.3613,51.5946,15.72,82,33,2.13,RU,1690258596
38,rundu,-17.9333,19.7667,11.91,38,26,1.81,NA,1690258588
39,dhidhdhoo,6.8833,73.1,27.96,79,99,5.12,MV,1690258598
40,madinat ash shamal,26.1293,51.2009,34.44,52,99,2.42,QA,1690258598
41,loukhi,66.0764,33.0381,11.15,95,100,2.36,RU,1690258599
42,stanley,54.868,-1.6985,9.88,91,0,2.06,GB,1690258012
43,howard springs,-12.497,131.047,24.34,17,95,4.98,AU,1690258148
44,bilibino,68.0546,166.4372,12.34,84,100,0.54,RU,1690258600
45,armacao de buzios,-22.7469,-41.8817,20.03,90,4,7.74,BR,1690258469
46,east london,-33.0153,27.9116,10.85,57,0,2.2,ZA,1690257914
47,mezhdurechensk,53.6942,88.0603,25.04,49,20,2.09,RU,1690258602
48,tres arroyos,-38.3739,-60.2798,2.95,84,10,3.94,AR,1690258430
49,fort bragg,35.139,-79.006,25.91,88,0,0.0,US,1690258044
50,kapa'a,22.0752,-159.319,28.99,87,100,7.2,US,1690258026
51,worthington,40.0931,-83.018,19.23,96,40,1.54,US,1690258604
52,opuwo,-18.0607,13.84,16.58,34,100,2.46,NA,1690258196
53,chonchi,-42.6128,-73.8092,7.84,91,66,2.96,CL,1690258605
